Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
2030,45,cubist,0.7170073746,8.28291494,,,,,,,,,,
3076,45,cubist,0.7170474552,8.35395324,,,,,,,,,,
3408,45,cubist,0.7170483231,9.029202116,,,,,,,,,,
3474,45,cubist,0.7171829335,8.783370918,,,,,,,,,,
2906,45,cubist,0.7172415791,8.345631285,,,,,,,,,,
3896,45,cubist,0.7175682281,8.459767274,,,,,,,,,,
3553,45,cubist,0.7177275178,8.667455524,,,,,,,,,,
901,45,cubist,0.7177982275,7.6840357,,,,,,,,,,
3175,45,cubist,0.7178122876,7.822830413,,,,,,,,,,
3661,45,cubist,0.7178695848,8.529049921,,,,,,,,,,
3197,45,cubist,0.7179568955,8.946757195,,,,,,,,,,
3702,45,cubist,0.717982076,7.788137219,,,,,,,,,,
3270,45,cubist,0.7180580045,8.605233334,,,,,,,,,,
1340,45,cubist,0.7180630316,8.376656613,,,,,,,,,,
2792,45,cubist,0.718338678,8.463019567,,,,,,,,,,
1881,45,cubist,0.7183497037,8.580321292,,,,,,,,,,
3372,45,cubist,0.7183624489,8.345342246,,,,,,,,,,
3039,45,cubist,0.718381888,8.743396962,,,,,,,,,,
1154,45,cubist,0.7183935719,8.252777904,,,,,,,,,,
3085,45,cubist,0.7184069363,8.45610599,,,,,,,,,,
3166,45,cubist,0.7184195465,8.202209074,,,,,,,,,,
443,45,cubist,0.7184464302,8.612189171,,,,,,,,,,
458,45,cubist,0.7184588653,8.290331786,,,,,,,,,,
1188,45,cubist,0.7186917221,8.059789982,,,,,,,,,,
3115,45,cubist,0.7186917742,8.835633413,,,,,,,,,,
1170,45,cubist,0.7187021117,8.708060474,,,,,,,,,,
871,45,cubist,0.7187619715,8.482994905,,,,,,,,,,
546,45,cubist,0.7187641745,8.42862089,,,,,,,,,,
3798,45,cubist,0.7188220728,8.231959431,,,,,,,,,,
762,45,cubist,0.7188439356,8.282200583,,,,,,,,,,
1714,45,cubist,0.7188793357,8.758859479,,,,,,,,,,
2277,45,cubist,0.718888647,8.54760289,,,,,,,,,,
1244,45,cubist,0.7189012128,8.535089533,,,,,,,,,,
2523,45,cubist,0.719087102,8.249023519,,,,,,,,,,
1360,45,cubist,0.7192554156,7.662337641,,,,,,,,,,
1106,45,cubist,0.7192752893,8.557791243,,,,,,,,,,
1534,45,cubist,0.7193517792,8.309383835,,,,,,,,,,
3418,45,cubist,0.7193934167,8.188868638,,,,,,,,,,
3422,45,cubist,0.7193994119,8.107980688,,,,,,,,,,
2285,45,cubist,0.7194035348,8.444876072,,,,,,,,,,
2819,45,cubist,0.7194368228,8.044532614,,,,,,,,,,
2276,45,cubist,0.719451579,7.978274805,,,,,,,,,,
430,45,cubist,0.7195060138,7.908447523,,,,,,,,,,
1038,45,cubist,0.7195457777,8.371504709,,,,,,,,,,
1815,45,cubist,0.7196579146,8.717506101,,,,,,,,,,
1217,45,cubist,0.7196712025,8.107649465,,,,,,,,,,
833,45,cubist,0.7197590232,8.382766169,,,,,,,,,,
3216,45,cubist,0.7198047693,8.167069902,,,,,,,,,,
2944,45,cubist,0.7198520286,8.605073557,,,,,,,,,,
2305,45,cubist,0.7198949512,8.529953189,,,,,,,,,,
9,45,cubist,0.7198986376,8.43853218,,,,,,,,,,
1594,45,cubist,0.7199358228,8.445529383,,,,,,,,,,
2668,45,cubist,0.7199507453,7.775064441,,,,,,,,,,
2679,45,cubist,0.7199819193,8.333567214,,,,,,,,,,
2688,45,cubist,0.7200156149,7.861947134,,,,,,,,,,
664,45,cubist,0.7200190599,8.27165488,,,,,,,,,,
2950,45,cubist,0.7200585097,7.845304009,,,,,,,,,,
1132,45,cubist,0.7201150953,8.75700143,,,,,,,,,,
3064,45,cubist,0.7202124121,8.520090056,,,,,,,,,,
2512,45,cubist,0.7202268139,7.614403718,,,,,,,,,,
3975,45,cubist,0.7203638895,8.585333013,,,,,,,,,,
2788,45,cubist,0.720367424,7.967461951,,,,,,,,,,
2340,45,cubist,0.7204095937,8.56454762,,,,,,,,,,
2985,45,cubist,0.7204115477,8.725745018,,,,,,,,,,
2002,45,cubist,0.7204205371,8.593651792,,,,,,,,,,
834,45,cubist,0.7204694037,8.020857994,,,,,,,,,,
