Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
bagEarth,0.8586656478,6.273652079,8.151773403,1050,1,full_before_split,split_separate
bagEarth,0.858526673,6.126042518,8.02936992,1122,1,full_before_split,split_separate
bagEarth,0.8584641291,6.401528302,8.172333207,2458,1,full_before_split,split_separate
bagEarth,0.8583889066,6.294132456,7.765499382,3240,1,full_before_split,split_separate
bagEarth,0.8583564139,6.090743192,8.089860335,2245,1,full_before_split,split_separate
bagEarth,0.8583025184,6.579230944,8.255489011,3342,1,full_before_split,split_separate
bagEarth,0.8582727789,6.30301875,7.780876918,2601,1,full_before_split,split_separate
bagEarth,0.858265676,6.493782167,8.248203007,3551,1,full_before_split,split_separate
bagEarth,0.858214174,5.973483157,7.759016757,1143,1,full_before_split,split_separate
bagEarth,0.8581498321,6.180891181,8.140285713,3442,1,full_before_split,split_separate
bagEarth,0.8581192214,6.505766077,8.201026174,1873,1,full_before_split,split_separate
bagEarth,0.8580954172,6.488252539,8.159624924,3078,1,full_before_split,split_separate
bagEarth,0.8580417268,6.430552226,7.899279242,2263,1,full_before_split,split_separate
bagEarth,0.8580141053,6.370565372,7.974821263,3357,1,full_before_split,split_separate
bagEarth,0.8578977829,6.744711592,8.242553461,656,1,full_before_split,split_separate
bagEarth,0.8578366972,6.000422736,7.885396292,2862,1,full_before_split,split_separate
bagEarth,0.8578181348,6.703138053,8.246767844,2720,1,full_before_split,split_separate
bagEarth,0.8577628062,6.458966376,8.014215519,203,1,full_before_split,split_separate
bagEarth,0.8575603892,6.419992425,8.386153125,2490,1,full_before_split,split_separate
bagEarth,0.85752302,6.327337025,8.05411114,3735,1,full_before_split,split_separate
bagEarth,0.8574818399,6.306132598,7.876057317,954,1,full_before_split,split_separate
bagEarth,0.8574596834,6.552820052,8.199049147,749,1,full_before_split,split_separate
bagEarth,0.8574409232,6.640160579,8.360362372,2629,1,full_before_split,split_separate
bagEarth,0.8574407043,6.245040912,8.053902436,1242,1,full_before_split,split_separate
bagEarth,0.8574005253,6.367615383,8.019195114,3520,1,full_before_split,split_separate
bagEarth,0.8573173131,6.130283654,8.223660988,2075,1,full_before_split,split_separate
bagEarth,0.8572998144,6.3878604,7.953643811,2265,1,full_before_split,split_separate
bagEarth,0.8572576915,6.439269452,8.00855275,3671,1,full_before_split,split_separate
bagEarth,0.8572557883,6.418371974,8.095305534,3881,1,full_before_split,split_separate
bagEarth,0.8572422016,6.391102756,8.104125242,3620,1,full_before_split,split_separate
bagEarth,0.8572268253,6.332285009,8.153823185,2722,1,full_before_split,split_separate
bagEarth,0.8572200005,6.408973238,7.978051369,1260,1,full_before_split,split_separate
bagEarth,0.8571191017,6.260861254,8.019911388,3265,1,full_before_split,split_separate
bagEarth,0.8570930369,6.505295608,8.020609131,2007,1,full_before_split,split_separate
bagEarth,0.8570891563,6.568431365,7.972103354,935,1,full_before_split,split_separate
bagEarth,0.8570732395,6.210443789,8.028118807,1438,1,full_before_split,split_separate
bagEarth,0.8569464185,6.669596352,8.302341713,1714,1,full_before_split,split_separate
bagEarth,0.8569282048,6.527700052,8.143680869,2878,1,full_before_split,split_separate
bagEarth,0.8569108739,6.44301388,8.113765848,1540,1,full_before_split,split_separate
bagEarth,0.8568178221,6.180488922,8.076920896,1715,1,full_before_split,split_separate
bagEarth,0.8567618306,7.16839992,8.841641914,546,1,full_before_split,split_separate
bagEarth,0.8567419333,6.140357927,8.043611516,2433,1,full_before_split,split_separate
bagEarth,0.856687573,6.219898279,7.876447883,595,1,full_before_split,split_separate
bagEarth,0.8566801254,6.484858706,8.007352892,471,1,full_before_split,split_separate
bagEarth,0.8565854494,6.320481766,8.078044347,642,1,full_before_split,split_separate
bagEarth,0.8565243046,6.350499848,8.086718124,969,1,full_before_split,split_separate
bagEarth,0.856433795,6.444672162,7.960730066,3451,1,full_before_split,split_separate
bagEarth,0.8563928582,5.816327583,7.667392873,2555,1,full_before_split,split_separate
bagEarth,0.856388008,6.299307001,8.116870064,2467,1,full_before_split,split_separate
bagEarth,0.8563655807,5.928442723,7.936861382,2290,1,full_before_split,split_separate
bagEarth,0.8562871338,6.459178581,8.063162727,255,1,full_before_split,split_separate
bagEarth,0.8562750683,6.20128138,8.112804885,1770,1,full_before_split,split_separate
bagEarth,0.856192628,6.496543737,8.172893354,3276,1,full_before_split,split_separate
bagEarth,0.8561854118,6.329031036,8.035643054,1911,1,full_before_split,split_separate
bagEarth,0.8561040772,6.680889656,8.188551324,2897,1,full_before_split,split_separate
bagEarth,0.8560630922,6.434117527,8.22927603,481,1,full_before_split,split_separate
bagEarth,0.8560065599,6.23410304,7.955149959,2060,1,full_before_split,split_separate
bagEarth,0.8560063346,6.717572697,8.168660016,1616,1,full_before_split,split_separate
bagEarth,0.8559975136,6.705858212,8.409169165,3274,1,full_before_split,split_separate
bagEarth,0.8559729715,6.345683784,7.80531384,3257,1,full_before_split,split_separate
bagEarth,0.8559050423,6.169403546,8.001391934,2518,1,full_before_split,split_separate
bagEarth,0.8558701207,6.736189665,8.326391028,2673,1,full_before_split,split_separate
bagEarth,0.855862556,5.77604883,7.89886961,321,1,full_before_split,split_separate
bagEarth,0.8557522048,6.371118304,8.078999559,1646,1,full_before_split,split_separate
bagEarth,0.8557332783,6.562493418,8.162852702,1204,1,full_before_split,split_separate
bagEarth,0.855727825,6.15216757,7.770097704,2116,1,full_before_split,split_separate
bagEarth,0.8557226245,6.283380225,8.434241181,2521,1,full_before_split,split_separate
bagEarth,0.8557037978,6.316384293,8.008981351,1867,1,full_before_split,split_separate
bagEarth,0.8556568851,7.054784554,8.449029081,1830,1,full_before_split,split_separate
bagEarth,0.8555240805,6.353264581,8.141199413,3306,1,full_before_split,split_separate
bagEarth,0.8555015942,6.173007953,7.831448507,522,1,full_before_split,split_separate
bagEarth,0.8553430673,6.379281347,8.174586297,3383,1,full_before_split,split_separate
