Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
3358,1,svmLinear3,0.7308079642,8.497550385,,,,,,,,,,
814,1,svmLinear3,0.7308475459,8.498315256,,,,,,,,,,
3680,1,svmLinear3,0.7308761606,8.49988884,,,,,,,,,,
2209,1,svmLinear3,0.7309012215,8.089889875,,,,,,,,,,
339,1,svmLinear3,0.7309185302,8.13007313,,,,,,,,,,
1020,1,svmLinear3,0.7309203035,8.623302551,,,,,,,,,,
3657,1,svmLinear3,0.7309481361,8.330432024,,,,,,,,,,
1612,1,svmLinear3,0.7309795166,8.648696358,,,,,,,,,,
851,1,svmLinear3,0.7310140481,8.709127758,,,,,,,,,,
1641,1,svmLinear3,0.7310582491,8.480374854,,,,,,,,,,
2218,1,svmLinear3,0.7310596679,8.918680084,,,,,,,,,,
1204,1,svmLinear3,0.7310602762,8.573684776,,,,,,,,,,
2036,1,svmLinear3,0.7311328036,8.662332098,,,,,,,,,,
1915,1,svmLinear3,0.7311697821,8.018832755,,,,,,,,,,
2004,1,svmLinear3,0.731171935,8.16527223,,,,,,,,,,
3002,1,svmLinear3,0.7312037286,8.501160795,,,,,,,,,,
1486,1,svmLinear3,0.7312146911,8.160524546,,,,,,,,,,
275,1,svmLinear3,0.7312735026,8.277273993,,,,,,,,,,
2292,1,svmLinear3,0.7312882757,8.08768952,,,,,,,,,,
3035,1,svmLinear3,0.7313065758,8.321337648,,,,,,,,,,
773,1,svmLinear3,0.7313831245,8.604703402,,,,,,,,,,
2859,1,svmLinear3,0.7313881363,8.183260828,,,,,,,,,,
520,1,svmLinear3,0.7313996849,8.026464859,,,,,,,,,,
3433,1,svmLinear3,0.7314378179,8.10700552,,,,,,,,,,
974,1,svmLinear3,0.7314993487,8.366798412,,,,,,,,,,
2154,1,svmLinear3,0.7315664762,8.202029764,,,,,,,,,,
1708,1,svmLinear3,0.7316479525,8.085621272,,,,,,,,,,
90,1,svmLinear3,0.7316515382,8.380801269,,,,,,,,,,
294,1,svmLinear3,0.7316785708,8.429468112,,,,,,,,,,
3851,1,svmLinear3,0.7316923154,8.041008816,,,,,,,,,,
