"id","Model","Status","elapsed_seconds","R2","MAE","RMSE","Error","dataset_seed","training_seed","threshold_scope","imputation_scope"
196,"bagEarthGCV","OK",37.57,0.609492670854978,0.029260576367101,0.0375935521480509,"",196,1,"full_before_split","split_separate"
197,"bagEarthGCV","OK",37.976,0.677057108421017,0.0266916204139639,0.035351448639477,"",197,1,"full_before_split","split_separate"
198,"bagEarthGCV","OK",37.856,0.657498959537712,0.0250111297179192,0.0311977032311143,"",198,1,"full_before_split","split_separate"
199,"bagEarthGCV","OK",37.845,0.657708795226164,0.0283223370387167,0.0350858409480029,"",199,1,"full_before_split","split_separate"
200,"bagEarthGCV","OK",37.614,0.614669216840967,0.0275347192894887,0.0334435658896209,"",200,1,"full_before_split","split_separate"
201,"bagEarthGCV","OK",38.408,0.666321579291957,0.0262315904527375,0.0331840527923246,"",201,1,"full_before_split","split_separate"
202,"bagEarthGCV","OK",37.119,0.672989169758352,0.0267567076616356,0.0346266867470139,"",202,1,"full_before_split","split_separate"
203,"bagEarthGCV","OK",38.156,0.629080122931006,0.0248551058030293,0.0315995306558261,"",203,1,"full_before_split","split_separate"
204,"bagEarthGCV","OK",37.04,0.635088557559275,0.0294322933584844,0.0372897383263453,"",204,1,"full_before_split","split_separate"
205,"bagEarthGCV","OK",37.598,0.637030448221429,0.0255225266501405,0.0342067871351577,"",205,1,"full_before_split","split_separate"
206,"bagEarthGCV","OK",37.846,0.564296357689955,0.0278238245501881,0.0369468036204614,"",206,1,"full_before_split","split_separate"
207,"bagEarthGCV","OK",38.357,0.601151193353033,0.0239341986310512,0.0321442390746984,"",207,1,"full_before_split","split_separate"
208,"bagEarthGCV","OK",36.892,0.62623945430795,0.0265086885304284,0.0321657490762702,"",208,1,"full_before_split","split_separate"
209,"bagEarthGCV","OK",37.456,0.617646119953846,0.0264933190679857,0.0342360702342118,"",209,1,"full_before_split","split_separate"
210,"bagEarthGCV","OK",37.946,0.702137055181723,0.0259232480711886,0.0328272663149151,"",210,1,"full_before_split","split_separate"
211,"bagEarthGCV","OK",38.516,0.623738731468193,0.0280406253034395,0.0379277264327004,"",211,1,"full_before_split","split_separate"
212,"bagEarthGCV","OK",38.076,0.638201119672045,0.0252726441390399,0.034734878032329,"",212,1,"full_before_split","split_separate"
213,"bagEarthGCV","OK",37.414,0.595465515335019,0.0270490239665766,0.0361041421850654,"",213,1,"full_before_split","split_separate"
214,"bagEarthGCV","OK",37.924,0.627926877349362,0.0265055419244075,0.0330727790307318,"",214,1,"full_before_split","split_separate"
215,"bagEarthGCV","OK",37.763,0.576816404697485,0.0277756112084398,0.0345772268941048,"",215,1,"full_before_split","split_separate"
