"","age","cg04875128","cg01763090","cg03822622","cg11865208"
"GSM990350",46,0.1887759,0.1830128,0.3724275,0.7825966
"GSM990351",41,0.2362046,0.1801575,0.3965798,0.8066438
"GSM990352",59,0.3053508,0.2119191,0.3995574,0.8143485
"GSM990353",52,0.3236385,0.1822749,0.3804524,0.7773665
"GSM990354",50,0.2388967,0.1658882,0.3737881,0.8449987
"GSM990355",45,0.1828316,0.148764,0.3334009,0.7890126
"GSM990356",52,0.3118837,0.1929572,0.3785707,0.799949
"GSM990357",54,0.3686171,0.154047,0.3708936,0.8130372
"GSM990358",62,0.3612379,0.2217281,0.3539263,0.7992116
"GSM990359",62,0.2576595,0.1740577,0.4216419,0.808466
"GSM990360",63,0.2234761,0.1814789,0.3903071,0.8058844
"GSM990361",55,0.2309063,0.201155,0.3457746,0.8168242
"GSM990362",60,0.2724501,0.204091,0.3840078,0.8226885
"GSM990363",65,0.2593618,0.1751473,0.3850151,0.8242478
"GSM990364",64,0.3575972,0.2087847,0.375146,0.8096974
"GSM990365",57,0.2765142,0.1818846,0.2956627,0.8040196
"GSM990366",63,0.2927793,0.1604528,0.4079562,0.8082086
"GSM990367",40,0.2143538,0.1643831,0.3983174,0.8448438
"GSM990368",57,0.2903417,0.1706744,0.3422463,0.8275732
"GSM990369",38,0.1998479,0.1901129,0.3701218,0.7948779
"GSM990370",64,0.3257301,0.211202,0.3994297,0.8555242
"GSM990371",59,0.3067952,0.1693336,0.361069,0.8327439
"GSM990372",58,0.410082,0.2127258,0.4258808,0.8555192
"GSM990373",41,0.3770705,0.1724077,0.3757132,0.8176972
"GSM990374",58,0.2714328,0.2229608,0.3539591,0.787507
"GSM990375",26,0.1279786,0.1466331,0.3613347,0.8050274
"GSM990376",61,0.2966093,0.2055153,0.377964,0.8264779
"GSM990377",56,0.4007221,0.2296472,0.4121367,0.8483774
"GSM990378",66,0.3666106,0.2483505,0.3813652,0.866544
"GSM990379",62,0.3324787,0.1934824,0.3771021,0.8489195
"GSM990380",56,0.1703761,0.1616993,0.3399944,0.8220874
"GSM990381",55,0.3333788,0.1811854,0.361596,0.8202026
"GSM990382",61,0.2038729,0.182326,0.340589,0.8403887
"GSM990383",58,0.3214202,0.2057914,0.3568259,0.8023298
"GSM990384",53,0.3352142,0.1925512,0.4046617,0.8313636
"GSM990385",63,0.3394693,0.206481,0.3647604,0.8210478
"GSM990386",59,0.2866497,0.1862146,0.36144,0.7945101
"GSM990387",61,0.2923909,0.1733279,0.3917809,0.8556876
"GSM990388",66,0.3630793,0.1775422,0.3719136,0.8603193
"GSM990389",65,0.3747345,0.213011,0.3871316,0.8322213
"GSM990390",58,0.3743468,0.1858359,0.398662,0.8474694
"GSM990391",43,0.1242434,0.1521888,0.3493309,0.7549225
"GSM990392",55,0.2573029,0.1678571,0.3957903,0.7755228
"GSM990393",47,0.369389,0.1781915,0.3432893,0.796077
"GSM990394",50,0.3645189,0.2187409,0.3178657,0.7099542
"GSM990395",46,0.1591721,0.1860604,0.34493,0.8012879
"GSM990396",54,0.1987103,0.1890806,0.3294151,0.8286348
